article URL,2021-07-05 00:15:03.603163,2021-07-05 00:45:06.905986,2021-07-05 01:15:03.191166,2021-07-05 01:45:05.836121,2021-07-05 02:15:01.994566,2021-07-05 02:45:06.659465,2021-07-05 03:15:03.185306,2021-07-05 03:45:08.199680,2021-07-05 04:15:03.595812,2021-07-05 04:45:06.598858,2021-07-05 05:15:03.144987,2021-07-05 05:45:06.678942,2021-07-05 06:15:05.436546,2021-07-05 06:45:06.158126,2021-07-05 07:15:02.824745,2021-07-05 07:45:03.330691,2021-07-05 08:15:01.879518,2021-07-05 08:45:02.299619,2021-07-05 09:15:02.951247,2021-07-05 09:45:02.658669,2021-07-05 10:15:06.438531,2021-07-05 10:45:07.089772,2021-07-05 11:15:06.119147,2021-07-05 11:45:03.013210,2021-07-05 12:15:06.181212,2021-07-05 12:45:06.154835,2021-07-05 13:15:06.490719,2021-07-05 13:49:18.502862,2021-07-05 14:15:06.137923,2021-07-05 14:45:04.241719,2021-07-05 15:15:05.473406,2021-07-05 15:45:08.658542,2021-07-05 16:15:05.654719,2021-07-05 16:45:03.994356,2021-07-05 17:15:06.876297,2021-07-05 17:45:06.464003,2021-07-05 18:15:03.615272,2021-07-05 18:45:06.835589,2021-07-05 19:15:06.642992,2021-07-05 19:45:07.516925,2021-07-05 20:15:06.965490,2021-07-05 20:45:08.965168
/,423.0,253.0,180.0,189.0,143.0,147.0,144.0,122.0,161.0,125.0,161.0,211.0,289.0,396.0,677.0,804.0,943.0,951.0,1089.0,1079.0,1058.0,946.0,974.0,986.0,1025.0,1049.0,1171.0,1193.0,986.0,989.0,1043.0,1012.0,924.0,1019.0,937.0,970.0,1060.0,1074.0,1082.0,1119.0,991.0,1061.0
/about,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,3.0,1.0,,,1.0,1.0,2.0,1.0,,4.0,3.0,,,2.0,1.0,,3.0,2.0,,,
/account,2.0,,,1.0,,,,,,,,,,,,3.0,3.0,1.0,,5.0,3.0,6.0,7.0,,5.0,,6.0,,6.0,8.0,6.0,5.0,5.0,2.0,2.0,,1.0,3.0,3.0,,7.0,1.0
/advertising,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,2.0,1.0,,1.0,,,2.0,,,,,,,,,,
/article/ singing-to-the-gods-a-millennium-s-span-of-ancient-greek-hymns-gloriously- portrayed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
/article/-abolisheton-is-the-perfect-advert-for-private-school,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/article/-black-coloured-bme---any-kind-of-label-is-essentially-racist-it-s-time-to-move-on/amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
/article/-don-t-google-this-the-doctor-told-me-when-i-got-my-daughter-s-test-results/amp,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
/article/-fire-may-let-you-retire-early-but-it-s-a-miserable-way-to-live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
/article/-fire-may-let-you-retire-early-but-it-s-a-miserable-way-to-live/amp,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,1.0,,,2.0,,1.0,,1.0,,,,,2.0
/article/-god-has-abandoned-us-,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
/article/-hallelujah-tory-mp-heckles-javid-on-end-of-social-distancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,259.0,169.0,151.0,145.0,125.0,133.0
/article/-i-feel-compelled-to-be-disgraceful-miriam-margolyes-interviewed/amp,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
/article/-i-merge-into-the-background-me-,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
/article/-i-ve-seen-the-bare-bones-of-london-interview-with-street-painter-peter-brown,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
/article/-if-he-couldn-t-paint-he-couldn-t-live-/amp,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/article/-instapoetry-may-be-popular-but-most-of-it-is-terrible/amp,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
/article/-it-wasn-t-the-russian-people-who-poisoned-skripal-it-was-just-a-few-guys-alexander-lebedev-interviewed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/article/-maestro-will-do-,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/article/-naughty-nicola-sturgeon-reveals-the-saucy-portrait-that-hangs-in-her-home/amp,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
/article/-our-children-are-horrified-/amp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
/article/-racist-buses-snp-msp-in-fresh-rangers-storm,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,3.0,1.0,5.0,1.0,2.0,1.0,,5.0,2.0,2.0
